date	adjclose_GM	time	Y
18nov2010		1	
19nov2010	29.0720272064209	2	
22nov2010	28.91929244995117	3	-.0052675162
23nov2010	28.21497344970703	4	-.024656121
24nov2010	28.41014289855957	5	.0068934155
26nov2010	28.68169212341309	6	.0095127886
29nov2010	28.68169212341309	7	0
30nov2010	29.0211124420166	8	.011764566
01dec2010	29.51328468322754	9	.01681691
02dec2010	29.42842483520508	10	-.0028794517
03dec2010	29.3181209564209	11	-.0037552509
06dec2010	29.25871276855469	12	-.0020283859
07dec2010	29.42842483520508	13	.0057836366
08dec2010	29.2332592010498	14	-.0066539636
09dec2010	28.63077163696289	15	-.020825004
10dec2010	28.69017219543457	16	.0020725611
13dec2010	28.68169212341309	17	-.00029561779
14dec2010	28.75804710388184	18	.0026586133
15dec2010	28.52045822143555	19	-.0082959654
16dec2010	28.52045822143555	20	0
17dec2010	28.85140419006348	21	.011537001
20dec2010	28.64774513244629	22	-.0070839277
21dec2010	28.72411918640137	23	.0026624235
22dec2010	29.63207817077637	24	.031120338
23dec2010	29.53875160217285	25	-.0031544815
27dec2010	29.36054420471191	26	-.0060512759
28dec2010	29.97151947021484	27	.020595841
29dec2010	30.56551933288574	28	.019624975
30dec2010	31.24436569213867	29	.021966508
31dec2010	31.27831268310547	30	.0010859098
03jan2011	31.44803047180176	31	.0054113851
04jan2011	32.16082763671875	32	.022412822
05jan2011	32.30508422851563	33	.0044754455
06jan2011	33.00940322875977	34	.021567842
07jan2011	33.07728576660156	35	.0020543491
10jan2011	32.72088623046875	36	-.01083322
11jan2011	32.88211059570313	37	.0049151625
12jan2011	32.77179336547852	38	-.003360572
13jan2011	32.47480010986328	39	-.0091037797
14jan2011	32.41540145874023	40	-.0018307439
18jan2011	32.27113342285156	41	-.004460535
19jan2011	31.73653602600098	42	-.016704556
20jan2011	31.54985809326172	43	-.0058994819
21jan2011	31.60076522827148	44	.0016122452
24jan2011	31.94019508361816	45	.010683915
25jan2011	32.58510971069336	46	.019990176
26jan2011	32.15234375	47	-.013370078
27jan2011	32.8142204284668	48	.020376623
28jan2011	31.05768585205078	49	-.055015661
31jan2011	30.9643440246582	50	-.0030099594
01feb2011	30.93039512634277	51	-.0010969883
02feb2011	30.27700042724609	52	-.021350998
03feb2011	30.59945869445801	53	.010593956
04feb2011	31.04919624328613	54	.014590603
07feb2011	31.14253616333008	55	.0030016848
08feb2011	31.30377960205078	56	.0051642372
09feb2011	30.89645957946777	57	-.013097243
10feb2011	30.44671058654785	58	-.014663639
11feb2011	30.93039512634277	59	.0157614
14feb2011	30.79463005065918	60	-.0043990356
15feb2011	30.64188194274902	61	-.0049725617
16feb2011	31.18497276306152	62	.017568573
17feb2011	30.86251068115234	63	-.010394135
18feb2011	30.98130416870117	64	.0038417305
22feb2011	30.35336875915527	65	-.020476423
23feb2011	29.3520565032959	66	-.033544898
24feb2011	28.01979827880859	67	-.046451271
25feb2011	28.21497344970703	68	.0069414689
28feb2011	28.45257186889648	69	.0083857458
01mar2011	27.96040344238281	70	-.017449209
02mar2011	27.9010009765625	71	-.002126781
03mar2011	28.02828407287598	72	.0045515802
04mar2011	27.48520088195801	73	-.019566435
07mar2011	26.89969062805176	74	-.021532925
08mar2011	27.76523399353027	75	.031669877
09mar2011	27.36640167236328	76	-.014468618
10mar2011	26.6620922088623	77	-.026073255
11mar2011	27.0948600769043	78	.016101256
14mar2011	26.80634498596191	79	-.010705432
15mar2011	27.45125961303711	80	.023773441
16mar2011	26.96757125854492	81	-.017776975
17mar2011	26.6790599822998	82	-.010756092
18mar2011	27.02697563171387	83	.012956478
21mar2011	26.54328536987305	84	-.018058654
22mar2011	26.08505439758301	85	-.017414289
23mar2011	26.44145774841309	86	.013570625
24mar2011	26.63663101196289	87	.0073542264
25mar2011	26.70451545715332	88	.0025452953
28mar2011	26.17840385437012	89	-.019897878
29mar2011	26.39054298400879	90	.0080709355
30mar2011	26.77239990234375	91	.014365776
31mar2011	26.33115005493164	92	-.016618852
01apr2011	27.50217056274414	93	.043512281
04apr2011	27.48520088195801	94	-.00061722106
05apr2011	27.89251518249512	95	.014710669
06apr2011	27.89251518249512	96	0
07apr2011	27.41731452941895	97	-.017183648
08apr2011	26.74694442749023	98	-.024754491
11apr2011	26.11051940917969	99	-.024081964
12apr2011	26.4329776763916	100	.01227411
13apr2011	26.1868896484375	101	-.0093534943
14apr2011	25.94928741455078	102	-.0091147413
15apr2011	25.66077423095703	103	-.011180618
18apr2011	25.43166160583496	104	-.008968614
19apr2011	25.10920333862305	105	-.012760472
20apr2011	25.3977222442627	106	.011425049
21apr2011	26.26326179504395	107	.033511579
25apr2011	26.42448806762695	108	.0061200857
26apr2011	26.53480339050293	109	.0041660485
27apr2011	26.96757125854492	110	.016177872
28apr2011	27.07789039611816	111	.0040824628
29apr2011	27.23063278198242	112	.0056250026
02may2011	27.30700492858887	113	.0028007152
03may2011	27.99434471130371	114	.024859255
04may2011	28.03677368164063	115	.0015144791
05may2011	27.17123031616211	116	-.03135829
06may2011	27.07789039611816	117	-.0034411622
09may2011	26.63663101196289	118	-.016430167
10may2011	26.82331657409668	119	.0069841566
11may2011	26.56026268005371	120	-.009855316
12may2011	26.6620922088623	121	.0038265744
13may2011	26.36509132385254	122	-.011201953
16may2011	26.39054298400879	123	.0009648889
17may2011	26.39054298400879	124	0
18may2011	26.74694442749023	125	.013414514
19may2011	26.70451545715332	126	-.0015875704
20may2011	26.45843505859375	127	-.0092576565
23may2011	26.27174758911133	128	-.0070808874
24may2011	26.16142845153809	129	-.0042079962
25may2011	26.53480339050293	130	.014171077
26may2011	26.03414535522461	131	-.019048247
27may2011	26.54328536987305	132	.019367851
31may2011	26.99303436279297	133	.016802035
01jun2011	25.65228843688965	134	-.050946061
02jun2011	25.11769104003906	135	-.021060366
03jun2011	24.71037864685059	136	-.016349077
06jun2011	24.23517990112305	137	-.019418051
07jun2011	24.42186164855957	138	.0076734079
08jun2011	24.48974990844727	139	.0027759585
09jun2011	24.99040794372559	140	.02023741
10jun2011	24.48126029968262	141	-.020584131
13jun2011	24.26063346862793	142	-.0090529239
14jun2011	24.7018928527832	143	.01802486
15jun2011	24.56611824035645	144	-.0055116881
16jun2011	24.26063346862793	145	-.012513172
17jun2011	24.60854911804199	146	.014238893
20jun2011	25.04980278015137	147	.017772047
21jun2011	25.10920333862305	148	.0023684914
22jun2011	25.43166160583496	149	.012760472
23jun2011	25.57592010498047	150	.0056563704
24jun2011	25.38923263549805	151	-.0073261159
27jun2011	25.6777458190918	152	.011299524
28jun2011	25.88140487670898	153	.0079000574
29jun2011	25.71168899536133	154	-.0065790392
30jun2011	25.76260757446289	155	.0019784085
01jul2011	25.94928741455078	156	.0072200275
05jul2011	26.1868896484375	157	.0091147413
06jul2011	26.46692276000977	158	.010636865
07jul2011	26.98454475402832	159	.019368529
08jul2011	26.7978630065918	160	-.0069421399
11jul2011	26.09354782104492	161	-.026634071
12jul2011	26.03414535522461	162	-.0022791144
13jul2011	26.09354782104492	163	.0022791144
14jul2011	25.5419750213623	164	-.021364896
15jul2011	25.25346183776855	165	-.011359929
18jul2011	24.69340515136719	166	-.022427039
19jul2011	24.88857841491699	167	.0078727901
20jul2011	24.81220817565918	168	-.0030732029
21jul2011	25.42317390441895	169	.024325319
22jul2011	25.5419750213623	170	.0046620616
25jul2011	25.03283500671387	171	-.020134814
26jul2011	24.6849193572998	172	-.013995859
27jul2011	23.8787784576416	173	-.033202372
28jul2011	23.84483337402344	174	-.00142257
29jul2011	23.48843383789063	175	-.015059441
01aug2011	23.81937980651855	176	.013991404
02aug2011	22.95383262634277	177	-.037014604
03aug2011	23.0556640625	178	.0044265473
04aug2011	22.05434989929199	179	-.044401612
05aug2011	22.32588958740234	180	.012237117
08aug2011	20.84937858581543	181	-.068422832
09aug2011	21.67249488830566	182	.038719796
10aug2011	20.29780960083008	183	-.065530963
11aug2011	21.90160942077637	184	.076047145
12aug2011	21.85069465637207	185	-.0023274105
15aug2011	22.41923141479492	186	.025686422
16aug2011	21.91857719421387	187	-.022584585
17aug2011	21.16335105895996	188	-.035063587
18aug2011	20.02626609802246	189	-.055226244
19aug2011	18.80432319641113	190	-.062957913
22aug2011	18.42246627807617	191	-.020515887
23aug2011	18.71946716308594	192	.015993094
24aug2011	18.98252105712891	193	.013954604
25aug2011	18.92312240600586	194	-.0031340295
26aug2011	19.40681457519531	195	.025239689
29aug2011	20.1874942779541	196	.039439045
30aug2011	20.00929641723633	197	-.0088663315
31aug2011	20.39115142822266	198	.018904068
01sep2011	19.54258346557617	199	-.042505201
02sep2011	18.72795295715332	200	-.042578634
06sep2011	18.1933536529541	201	-.028960874
07sep2011	19.3983268737793	202	.064130478
08sep2011	19.07586669921875	203	-.016762806
09sep2011	18.46489906311035	204	-.032552432
12sep2011	18.55824089050293	205	.0050423616
13sep2011	18.66855239868164	206	.0059264749
14sep2011	18.82129669189453	207	.0081486134
15sep2011	19.26255416870117	208	.02317398
16sep2011	19.18618202209473	209	-.0039726794
19sep2011	19.55955123901367	210	.019273387
20sep2011	19.03343772888184	211	-.027266409
21sep2011	18.05758094787598	212	-.052631721
22sep2011	17.17507171630859	213	-.050106581
23sep2011	17.81998062133789	214	.036861319
26sep2011	17.88786506652832	215	.0038022192
27sep2011	17.98121452331543	216	.0052050217
28sep2011	17.31932258605957	217	-.037504785
29sep2011	17.61633110046387	218	.017003585
30sep2011	17.1241512298584	219	-.028336555
03oct2011	16.74229621887207	220	-.022551594
04oct2011	18.1763801574707	221	.082184732
05oct2011	18.89766693115234	222	.038915515
06oct2011	18.96555709838867	223	.0035860781
07oct2011	18.67703819274902	224	-.015329684
10oct2011	19.19466972351074	225	.027337756
11oct2011	19.09284019470215	226	-.0053192163
12oct2011	19.86503410339355	227	.039647698
13oct2011	19.6444091796875	228	-.011168328
14oct2011	20.50146675109863	229	.042703655
17oct2011	19.66987037658691	230	-.04140839
18oct2011	19.97535514831543	231	.015411229
19oct2011	19.5934944152832	232	-.019301677
20oct2011	19.48317909240723	233	-.005646111
21oct2011	20.66269683837891	234	.058778506
24oct2011	21.19729614257813	235	.025543643
25oct2011	21.0954704284668	236	-.0048152874
26oct2011	21.20578193664551	237	.0052155317
27oct2011	22.33437919616699	238	.051853281
28oct2011	22.44469451904297	239	.0049271025
31oct2011	21.9355525970459	240	-.022945534
01nov2011	19.79715347290039	241	-.10257056
02nov2011	19.68683815002441	242	-.0055878651
03nov2011	20.39115142822266	243	.035150755
04nov2011	20.03475379943848	244	-.017632598
07nov2011	20.37418174743652	245	.016800044
08nov2011	21.24820518493652	246	.04200393
09nov2011	18.93160629272461	247	-.11543962
10nov2011	19.26255416870117	248	.017330198
11nov2011	19.10132598876953	249	-.008405257
14nov2011	19.50863838195801	250	.021099605
15nov2011	19.81412696838379	251	.015537805
16nov2011	19.22012138366699	252	-.030437447
17nov2011	18.49035453796387	253	-.038708501
18nov2011	18.39701080322266	254	-.0050610248
21nov2011	17.8624095916748	255	-.029489713
22nov2011	17.59086799621582	256	-.015318578
23nov2011	17.17507171630859	257	-.02392089
25nov2011	17.25992774963379	258	.004928486
28nov2011	17.5993537902832	259	.019474685
29nov2011	17.23446846008301	260	-.020950826
30nov2011	18.06606674194336	261	.047124054
01dec2011	17.78603935241699	262	-.01562157
02dec2011	18.05758094787598	263	.01515175
05dec2011	18.32064056396484	264	.01446273
06dec2011	18.39701080322266	265	.004159871
07dec2011	18.61763954162598	266	.011921299
08dec2011	17.80301094055176	267	-.044741895
09dec2011	17.94726753234863	268	.0080702798
12dec2011	17.65026664733887	269	-.016686985
13dec2011	17.06475639343262	270	-.033735584
14dec2011	16.52166748046875	271	-.032342605
15dec2011	17.0562686920166	272	.0318451
16dec2011	17.09869956970215	273	.0024846108
19dec2011	16.16526985168457	274	-.056137308
20dec2011	16.70835304260254	275	.033043671
21dec2011	17.24295425415039	276	.031494834
22dec2011	17.56541061401367	277	.018528052
23dec2011	17.39569854736328	278	-.009708697
27dec2011	17.04778480529785	279	-.020202694
28dec2011	16.85261344909668	280	-.011514526
29dec2011	17.14961242675781	281	.017469829
30dec2011	17.20052719116211	282	.0029644596
03jan2012	17.8624095916748	283	.037758447
04jan2012	17.94726753234863	284	.0047393949
05jan2012	18.81281089782715	285	.04710019
06jan2012	19.44923973083496	286	.033269912
09jan2012	19.38135147094727	287	-.0034966415
10jan2012	19.72077751159668	288	.017361436
11jan2012	20.76452445983887	289	.051573198
12jan2012	20.93423271179199	290	.0081397723
13jan2012	20.61178016662598	291	-.015522983
17jan2012	20.53540802001953	292	-.0037121484
18jan2012	20.79846572875977	293	.012728604
19jan2012	21.06152153015137	294	.012568531
20jan2012	21.21426391601563	295	.0072260303
23jan2012	21.1463794708252	296	-.0032050742
24jan2012	21.03606414794922	297	-.0052304021
25jan2012	21.1463794708252	298	.0052304021
26jan2012	20.97666549682617	299	-.0080580544
27jan2012	20.67966651916504	300	-.01425973
30jan2012	20.56086921691895	301	-.0057612071
31jan2012	20.38266754150391	302	-.0087048076
01feb2012	20.67966651916504	303	.014466015
02feb2012	20.62874794006348	304	-.0024652898
03feb2012	22.21557998657227	305	.074108213
06feb2012	22.65683555603027	306	.019667754
07feb2012	22.24952125549316	307	-.018141106
08feb2012	21.85069465637207	308	-.018087778
09feb2012	21.84221076965332	309	-.00038834161
10feb2012	21.63855361938477	310	-.0093677584
13feb2012	21.50277900695801	311	-.0062944307
14feb2012	21.5536937713623	312	.0023650236
15feb2012	21.15486526489258	313	-.018677291
16feb2012	23.0556640625	314	.086041555
17feb2012	23.19992256164551	315	.0062374719
21feb2012	22.96231842041016	316	-.010294398
22feb2012	22.52955055236816	317	-.019026738
23feb2012	22.73320579528809	318	.0089988606
24feb2012	22.12223815917969	319	-.027243312
27feb2012	22.45317459106445	320	.014848657
28feb2012	22.18163681030273	321	-.012167236
29feb2012	22.07980918884277	322	-.0046011964
01mar2012	22.46166610717773	323	.017146548
02mar2012	22.44469451904297	324	-.00075586571
05mar2012	22.06283378601074	325	-.017159799
06mar2012	20.85786628723145	326	-.056163307
07mar2012	21.11243629455566	327	.012131108
08mar2012	21.59612655639648	328	.022651708
09mar2012	21.74038314819336	329	.0066575333
12mar2012	21.54520416259766	330	-.0090182582
13mar2012	22.12223815917969	331	.026430108
14mar2012	22.33437919616699	332	.0095438054
15mar2012	22.10526657104492	333	-.010311273
16mar2012	21.69795417785645	334	-.018597908
19mar2012	21.54520416259766	335	-.0070647313
20mar2012	21.2906379699707	336	-.011885803
21mar2012	21.46035385131836	337	.007939782
22mar2012	21.25669097900391	338	-.0095355101
23mar2012	21.35852432250977	339	.0047792103
26mar2012	21.70643997192383	340	.016158063
27mar2012	21.51126670837402	341	-.0090321582
28mar2012	21.34155082702637	342	-.0079209153
29mar2012	21.47732162475586	343	.0063416548
30mar2012	21.76583480834961	344	.013343959
02apr2012	22.70775032043457	345	.042364761
03apr2012	21.67249488830566	346	-.046662349
04apr2012	21.29912376403809	347	-.017378006
05apr2012	21.05303764343262	348	-.011621078
09apr2012	20.53540802001953	349	-.024894239
10apr2012	20.1196117401123	350	-.020455569
11apr2012	20.39115142822266	351	.013406006
12apr2012	20.62026596069336	352	.011173324
13apr2012	20.19598197937012	353	-.020790704
16apr2012	19.8735237121582	354	-.016095294
17apr2012	20.39963722229004	355	.026128739
18apr2012	20.49297714233398	356	.0045651314
19apr2012	20.37418174743652	357	-.0058137504
20apr2012	20.02626609802246	358	-.017223781
23apr2012	19.47469520568848	359	-.027928775
24apr2012	19.42377853393555	360	-.002617928
25apr2012	19.78017997741699	361	.018182412
26apr2012	20.12809371948242	362	.017436111
27apr2012	19.96686363220215	363	-.0080424557
30apr2012	19.51712608337402	364	-.022781741
01may2012	19.78017997741699	365	.013388084
02may2012	19.45772171020508	366	-.016436432
03may2012	18.98252105712891	367	-.024725383
04may2012	18.97403907775879	368	-.00044693088
07may2012	19.0164680480957	369	.0022336626
08may2012	18.86372756958008	370	-.0080644414
09may2012	19.04192733764648	371	.0094023477
10may2012	18.98252105712891	372	-.0031246385
11may2012	18.66855239868164	373	-.016678194
14may2012	18.35458183288574	374	-.016961183
15may2012	18.1763801574707	375	-.0097562764
16may2012	18.59218215942383	376	.022618221
