month	year	adjclose__GSPC	time
1	1950	16.875715	1960m2
2	1950	17.192778	1960m3
3	1950	17.346521	1960m4
4	1950	17.845263	1960m5
5	1950	18.434546	1960m6
6	1950	18.736818	1960m7
7	1950	17.384001	1960m8
8	1950	18.433044	1960m9
9	1950	19.084499	1960m10
10	1950	19.859524	1960m11
11	1950	19.7985	1960m12
12	1950	19.745501	1961m1
1	1951	21.204546	1961m2
2	1951	21.978889	1961m3
3	1951	21.617619	1961m4
4	1951	21.884762	1961m5
5	1951	21.938183	1961m6
6	1951	21.54619	1961m7
7	1951	21.931904	1961m8
8	1951	22.892174	1961m9
9	1951	23.484211	1961m10
10	1951	23.367727	1961m11
11	1951	22.713684	1961m12
12	1951	23.421499	1962m1
1	1952	24.181364	1962m2
2	1952	23.698948	1962m3
3	1952	23.809999	1962m4
4	1952	23.731905	1962m5
5	1952	23.732857	1962m6
6	1952	24.380953	1962m7
7	1952	25.079546	1962m8
8	1952	25.182381	1962m9
9	1952	24.781904	1962m10
10	1952	24.255909	1962m11
11	1952	25.029411	1962m12
12	1952	26.039545	1963m1
1	1953	26.18	1963m2
2	1953	25.897778	1963m3
3	1953	25.992273	1963m4
4	1953	24.712381	1963m5
5	1953	24.837143	1963m6
6	1953	23.951818	1963m7
7	1953	24.294783	1963m8
8	1953	24.389524	1963m9
9	1953	23.269047	1963m10
10	1953	23.966667	1963m11
11	1953	24.500555	1963m12
12	1953	24.827272	1964m1
1	1954	25.4615	1964m2
2	1954	26.018421	1964m3
3	1954	26.571739	1964m4
4	1954	27.615238	1964m5
5	1954	28.734501	1964m6
6	1954	28.960909	1964m7
7	1954	30.126667	1964m8
8	1954	30.729546	1964m9
9	1954	31.454762	1964m10
10	1954	32.176666	1964m11
11	1954	33.442001	1964m12
12	1954	35.008183	1965m1
1	1955	35.596191	1965m2
2	1955	36.791054	1965m3
3	1955	36.50087	1965m4
4	1955	37.755001	1965m5
5	1955	37.602856	1965m6
6	1955	39.875	1965m7
7	1955	42.692001	1965m8
8	1955	42.43	1965m9
9	1955	44.341427	1965m10
10	1955	42.123333	1965m11
11	1955	44.946999	1965m12
12	1955	45.390476	1966m1
1	1956	44.145237	1966m2
2	1956	44.43	1966m3
3	1956	47.487144	1966m4
4	1956	48.051907	1966m5
5	1956	46.537273	1966m6
6	1956	46.26857	1966m7
7	1956	48.778095	1966m8
8	1956	48.461304	1966m9
9	1956	46.786842	1966m10
10	1956	46.243042	1966m11
11	1956	45.758499	1966m12
12	1956	46.443684	1967m1
1	1957	45.424999	1967m2
2	1957	43.466316	1967m3
3	1957	44.026192	1967m4
4	1957	45.047142	1967m5
5	1957	46.779545	1967m6
6	1957	47.598999	1967m7
7	1957	48.516819	1967m8
8	1957	45.834999	1967m9
9	1957	44.010498	1967m10
10	1957	41.235653	1967m11
11	1957	40.347366	1967m12
12	1957	40.325714	1968m1
1	1958	41.122726	1968m2
2	1958	41.261501	1968m3
3	1958	42.10857	1968m4
4	1958	42.335239	1968m5
5	1958	43.707619	1968m6
6	1958	44.738571	1968m7
7	1958	45.974998	1968m8
8	1958	47.701427	1968m9
9	1958	48.974285	1968m10
10	1958	50.959999	1968m11
11	1958	52.540554	1968m12
12	1958	53.485714	1969m1
1	1959	55.620476	1969m2
2	1959	54.788422	1969m3
3	1959	56.148094	1969m4
4	1959	57.098637	1969m5
5	1959	57.992382	1969m6
6	1959	57.460453	1969m7
7	1959	59.735909	1969m8
8	1959	59.400951	1969m9
9	1959	57.059525	1969m10
10	1959	57.00182	1969m11
11	1959	57.233158	1969m12
12	1959	59.055	1970m1
1	1960	58.028999	1970m2
2	1960	55.775002	1970m3
3	1960	55.015217	1970m4
4	1960	55.700001	1970m5
5	1960	55.215237	1970m6
6	1960	57.263184	1970m7
7	1960	55.84	1970m8
8	1960	56.505219	1970m9
9	1960	54.802856	1970m10
10	1960	53.743332	1970m11
11	1960	55.485001	1970m12
12	1960	56.799999	1971m1
1	1961	59.726192	1971m2
2	1961	62.17263	1971m3
3	1961	64.089088	1971m4
4	1961	65.933998	1971m5
5	1961	66.499046	1971m6
6	1961	65.574997	1971m7
7	1961	65.438499	1971m8
8	1961	67.789566	1971m9
9	1961	67.227997	1971m10
10	1961	67.929092	1971m11
11	1961	71.0765	1971m12
12	1961	71.740997	1972m1
1	1962	69.067726	1972m2
2	1962	70.221581	1972m3
3	1962	70.291817	1972m4
4	1962	68.057503	1972m5
5	1962	62.994545	1972m6
6	1962	55.628571	1972m7
7	1962	56.969524	1972m8
8	1962	58.52739	1972m9
9	1962	57.997894	1972m10
10	1962	56.168262	1972m11
11	1962	60.043499	1972m12
12	1962	62.614498	1973m1
1	1963	65.062271	1973m2
2	1963	65.92263	1973m3
3	1963	65.672859	1973m4
4	1963	68.759048	1973m5
5	1963	70.138634	1973m6
6	1963	70.109001	1973m7
7	1963	69.072273	1973m8
8	1963	70.980453	1973m9
9	1963	72.849503	1973m10
10	1963	73.020432	1973m11
11	1963	72.623886	1973m12
12	1963	74.173813	1974m1
1	1964	76.452271	1974m2
2	1964	77.389999	1974m3
3	1964	78.799522	1974m4
4	1964	79.936813	1974m5
5	1964	80.732498	1974m6
6	1964	80.242729	1974m7
7	1964	83.222275	1974m8
8	1964	82	1974m9
9	1964	83.408569	1974m10
10	1964	84.84864	1974m11
11	1964	85.438423	1974m12
12	1964	83.959999	1975m1
1	1965	86.116501	1975m2
2	1965	86.746841	1975m3
3	1965	86.833916	1975m4
4	1965	87.966667	1975m5
5	1965	89.279503	1975m6
6	1965	85.089996	1975m7
7	1965	84.905235	1975m8
8	1965	86.487274	1975m9
9	1965	89.379044	1975m10
10	1965	91.39476	1975m11
11	1965	92.146004	1975m12
12	1965	91.734543	1976m1
1	1966	93.316193	1976m2
2	1966	92.682632	1976m3
3	1966	88.877823	1976m4
4	1966	91.595497	1976m5
5	1966	86.781906	1976m6
6	1966	86.059998	1976m7
7	1966	85.838501	1976m8
8	1966	80.650871	1976m9
9	1966	77.814758	1976m10
10	1966	77.129051	1976m11
11	1966	80.994499	1976m12
12	1966	81.327141	1977m1
1	1967	84.450478	1977m2
2	1967	87.366844	1977m3
3	1967	89.417725	1977m4
4	1967	90.959503	1977m5
5	1967	92.590454	1977m6
6	1967	91.43364	1977m7
7	1967	92.988998	1977m8
8	1967	94.493912	1977m9
9	1967	95.808998	1977m10
10	1967	95.63636	1977m11
11	1967	92.661003	1977m12
12	1967	95.302498	1978m1
1	1968	95.037727	1978m2
2	1968	90.774734	1978m3
3	1968	89.092857	1978m4
4	1968	95.696999	1978m5
5	1968	97.865456	1978m6
6	1968	100.5853	1978m7
7	1968	100.2953	1978m8
8	1968	98.113892	1978m9
9	1968	101.34	1978m10
10	1968	103.755	1978m11
11	1968	105.40059	1978m12
12	1968	106.47556	1979m1
1	1969	102.04318	1979m2
2	1969	101.45889	1979m3
3	1969	99.304497	1979m4
4	1969	101.26286	1979m5
5	1969	104.6219	1979m6
6	1969	99.117142	1979m7
7	1969	94.711906	1979m8
8	1969	94.183334	1979m9
9	1969	94.506187	1979m10
10	1969	95.514786	1979m11
11	1969	96.205261	1979m12
12	1969	91.120003	1980m1
1	1970	90.332855	1980m2
2	1970	87.164207	1980m3
3	1970	88.652382	1980m4
4	1970	85.952271	1980m5
5	1970	76.061432	1980m6
6	1970	75.583633	1980m7
7	1970	75.718636	1980m8
8	1970	77.92762	1980m9
9	1970	82.37381	1980m10
10	1970	84.370003	1980m11
11	1970	84.291	1980m12
12	1970	90.052727	1981m1
1	1971	93.491501	1981m2
2	1971	97.112106	1981m3
3	1971	99.601303	1981m4
4	1971	103.04952	1981m5
5	1971	101.6425	1981m6
6	1971	99.666367	1981m7
7	1971	98.975716	1981m8
8	1971	97.240456	1981m9
9	1971	99.396187	1981m10
10	1971	97.293808	1981m11
11	1971	92.779526	1981m12
12	1971	99.16909	1982m1
1	1972	103.29857	1982m2
2	1972	105.243	1982m3
3	1972	107.69045	1982m4
4	1972	108.811	1982m5
5	1972	107.64545	1982m6
6	1972	108.01045	1982m7
7	1972	107.207	1982m8
8	1972	111.00739	1982m9
9	1972	109.3895	1982m10
10	1972	109.56273	1982m11
11	1972	115.047	1982m12
12	1972	117.49737	1983m1
1	1973	118.42191	1983m2
2	1973	114.16422	1983m3
3	1973	112.41545	1983m4
4	1973	110.274	1983m5
5	1973	107.21954	1983m6
6	1973	104.75476	1983m7
7	1973	105.83428	1983m8
8	1973	103.79957	1983m9
9	1973	105.60526	1983m10
10	1973	109.84435	1983m11
11	1973	102.03286	1983m12
12	1973	94.783997	1984m1
1	1974	96.110001	1984m2
2	1974	93.453156	1984m3
3	1974	97.439049	1984m4
4	1974	92.456192	1984m5
5	1974	89.667274	1984m6
6	1974	89.786499	1984m7
7	1974	82.819092	1984m8
8	1974	76.025002	1984m9
9	1974	68.123001	1984m10
10	1974	69.435654	1984m11
11	1974	71.737	1984m12
12	1974	67.073334	1985m1
1	1975	72.564095	1985m2
2	1975	80.09684	1985m3
3	1975	83.832001	1985m4
4	1975	84.723183	1985m5
5	1975	90.096191	1985m6
6	1975	92.397141	1985m7
7	1975	92.487274	1985m8
8	1975	85.713806	1985m9
9	1975	84.672379	1985m10
10	1975	88.574348	1985m11
11	1975	90.065262	1985m12
12	1975	88.700455	1986m1
1	1976	96.85952	1986m2
2	1976	100.63947	1986m3
3	1976	101.08435	1986m4
4	1976	101.92953	1986m5
5	1976	101.162	1986m6
6	1976	101.76682	1986m7
7	1976	104.20095	1986m8
8	1976	103.29182	1986m9
9	1976	105.45333	1986m10
10	1976	101.88524	1986m11
11	1976	101.1935	1986m12
12	1976	104.66091	1987m1
1	1977	103.81333	1987m2
2	1977	100.95579	1987m3
3	1977	100.56956	1987m4
4	1977	99.050003	1987m5
5	1977	98.760475	1987m6
6	1977	99.285912	1987m7
7	1977	100.17842	1987m8
8	1977	97.75	1987m9
9	1977	96.232384	1987m10
10	1977	93.739525	1987m11
11	1977	94.283333	1987m12
12	1977	93.82048	1988m1
1	1978	90.249519	1988m2
2	1978	88.975266	1988m3
3	1978	88.819542	1988m4
4	1978	92.710503	1988m5
5	1978	97.41227	1988m6
6	1978	97.661819	1988m7
7	1978	97.192497	1988m8
8	1978	103.92174	1988m9
9	1978	103.857	1988m10
10	1978	100.58363	1988m11
11	1978	94.709526	1988m12
12	1978	96.107498	1989m1
1	1979	99.705002	1989m2
2	1979	98.229477	1989m3
3	1979	100.11227	1989m4
4	1979	102.066	1989m5
5	1979	99.72773	1989m6
6	1979	101.72762	1989m7
7	1979	102.71143	1989m8
8	1979	107.35609	1989m9
9	1979	108.59684	1989m10
10	1979	104.47305	1989m11
11	1979	103.66381	1989m12
12	1979	107.776	1990m1
1	1980	110.86818	1990m2
2	1980	115.339	1990m3
3	1980	104.68619	1990m4
4	1980	102.96667	1990m5
5	1980	107.69428	1990m6
6	1980	114.54667	1990m7
7	1980	119.83273	1990m8
8	1980	123.49667	1990m9
9	1980	126.5119	1990m10
10	1980	130.22174	1990m11
11	1980	135.65445	1990m12
12	1980	133.48318	1991m1
1	1981	132.96571	1991m2
2	1981	128.39526	1991m3
3	1981	133.185	1991m4
4	1981	134.42761	1991m5
5	1981	131.72701	1991m6
6	1981	132.27773	1991m7
7	1981	129.12773	1991m8
8	1981	129.62952	1991m9
9	1981	118.26952	1991m10
10	1981	119.79773	1991m11
11	1981	122.9195	1991m12
12	1981	123.79409	1992m1
1	1982	117.2765	1992m2
2	1982	114.49526	1992m3
3	1982	110.84217	1992m4
4	1982	116.30714	1992m5
5	1982	116.353	1992m6
6	1982	109.69772	1992m7
7	1982	109.37666	1992m8
8	1982	109.65137	1992m9
9	1982	122.43333	1992m10
10	1982	132.66048	1992m11
11	1982	138.10095	1992m12
12	1982	139.36591	1993m1
1	1983	144.26714	1993m2
2	1983	146.79684	1993m3
3	1983	151.87653	1993m4
4	1983	157.71201	1993m5
5	1983	164.09714	1993m6
6	1983	166.36909	1993m7
7	1983	166.951	1993m8
8	1983	162.41783	1993m9
9	1983	167.16048	1993m10
10	1983	167.65428	1993m11
11	1983	165.23096	1993m12
12	1983	164.37143	1994m1
1	1984	166.39285	1994m2
2	1984	157.2505	1994m3
3	1984	157.43864	1994m4
4	1984	157.6015	1994m5
5	1984	156.5509	1994m6
6	1984	153.12476	1994m7
7	1984	151.07809	1994m8
8	1984	164.42087	1994m9
9	1984	166.11263	1994m10
