year	rgnp	gnp	pcrgnp	ip	emp	un	prgnp	cpi	wg	rwg	m	vel	bnd	sp500	lrgnp	lgnp	lpcrgnp	lip	lemp	lun	lprgnp	lcpi	lwg	lrwg	lm	lvel	lsp500
1860				.9				27										-.1053605156578263				3.295836866004329					
1861				.9				27										-.1053605156578263				3.295836866004329					
1862				.9				30										-.1053605156578263				3.401197381662155					
1863				1				37										0				3.610917912644224					
1864				1				48										0				3.871201010907891					
1865				1				47										0				3.850147601710058					
1866				1.2				44										.1823215567939546				3.784189633918261					
1867				1.3				43										.2623642644674911				3.761200115693562					
1868				1.3				41										.2623642644674911				3.713572066704308					
1869				1.4				40				5.61						.3364722366212129				3.688879454113936				1.724550719534605	
1870				1.5				38				5.16						.4054651081081644				3.637586159726386				1.640936579493471	
1871				1.5				37				4.63		4.69				.4054651081081644				3.610917912644224				1.532556868098143	1.545432582458188
1872				1.8				37				5.05		5.03				.5877866649021191				3.610917912644224				1.619388243287268	1.615419984111648
1873				1.8				37				4.95		4.8				.5877866649021191				3.610917912644224				1.599387576580599	1.568615917913845
1874				1.7				35				4.71		4.57				.5306282510621704				3.555348061489414				1.549687908028326	1.519513204906113
1875				1.7				33				4.46		4.45				.5306282510621704				3.49650756146648				1.495148766031973	1.492904096178149
1876				1.7				32				4.65		4.06				.5306282510621704				3.465735902799727				1.536867219599265	1.401182973613641
1877				1.8				32				4.89		3.14				.5877866649021191				3.465735902799727				1.587192303486781	1.144222799920162
1878				1.9				30				5.06		3.38				.6418538861723947				3.401197381662155				1.621366483299374	1.217875709494927
1879				2.2				29				5.1		4.12				.7884573603642703				3.367295829986474				1.62924053973028	1.415853163361435
1880				2.5				30				5.31		5.21				.9162907318741551				3.401197381662155				1.669591835253847	1.650579855765276
1881				2.8				30				4.41		6.25				1.029619417181158				3.401197381662155				1.483874689458755	1.83258146374831
1882				3				30				4.41		5.9				1.09861228866811				3.401197381662155				1.483874689458755	1.774952350911674
1883				3				29				4.01		5.63				1.09861228866811				3.367295829986474				1.388791241318478	1.728109442151599
1884				2.9				28				3.89		4.73				1.064710736992428				3.332204510175204				1.358409157630355	1.553925202503842
1885				2.9				28				3.53		4.6				1.064710736992428				3.332204510175204				1.261297870945205	1.526056303495049
1886				3.5				28				3.38		5.36				1.252762968495368				3.332204510175204				1.217875709494927	1.678963975082711
1887				3.7				28				3.29		5.53				1.308332819650179				3.332204510175204				1.190887564777281	1.710187815534243
1888				3.8				28				3.15		5.2				1.33500106673234				3.332204510175204				1.147402452837542	1.648658625587382
1889				4.1			25.9	28			3.6	3.08		5.32				1.410986973710262			3.254242968705492	3.332204510175204			1.280933845462064	1.124929596985483	1.671473303353553
1890				4.4	22577	4	25.4	28			3.92	3		5.27				1.481604540924216	10.02468696793797	1.386294361119891	3.234749174024491	3.332204510175204			1.366091653802371	1.09861228866811	1.662030362553271
1891				4.5	22792	5.4	24.9	28			4.08	2.96		5.03				1.504077396776274	10.03416487617774	1.686398953570229	3.214867803470662	3.332204510175204			1.40609698841607	1.085189268335969	1.615419984111648
1892				4.8	23932	3	24	28			4.43	2.86		5.55				1.568615917913845	10.08297175450992	1.09861228866811	3.178053830347946	3.332204510175204			1.488399584057044	1.050821624831761	1.713797927758343
1893				4.3	22321	11.7	24.5	28			4.26	2.93		4.78				1.458615022699517	10.01328321835901	2.45958884180371	3.198673117550682	3.332204510175204			1.449269160281279	1.075002423028976	1.564440546503365
1894				4.2	21102	18.4	23	26			4.28	2.57		4.39				1.435084525289323	9.957123101702038	2.91235066461494	3.13549421592915	3.258096538021482			1.453953009593705	.9439058989071284	1.47932922708708
1895				4.9	22824	13.7	22.7	25			4.43	2.73		4.53				1.589235205116581	10.03556789289334	2.617395832834079	3.122364924487357	3.218875824868201			1.488399584057044	1.004301609196868	1.510721939494943
1896				4.6	23129	14.4	22.1	25			4.35	2.63		4.23				1.526056303495049	10.0488425203955	2.667228206581955	3.095577608523707	3.218875824868201			1.470175845100593	.9669838461896731	1.442201993058187
1897				4.9	23604	14.5	22.2	25			4.64	2.72		4.45				1.589235205116581	10.06917146817706	2.674148649426529	3.100092288878234	3.218875824868201			1.534714366238164	1.000631880307906	1.492904096178149
1898				5.6	24746	12.4	22.9	25			5.26	2.51		5.05				1.722766597741104	10.11641913877392	2.517696472610991	3.131136910560194	3.218875824868201			1.660131026749619	.9202827531436925	1.619388243287268
1899				6.1	26911	6.5	23.6	25			6.09	2.49		6.29				1.808288771179265	10.20029040393723	1.871802176901591	3.161246712031565	3.218875824868201			1.806648081721806	.9122827104766164	1.838961070712349
1900				6.3	27909	5	24.7	25	487	19.48	6.6	2.49	3.3	6.15				1.840549633397487	10.23670449643667	1.6094379124341	3.206803243633932	3.218875824868201	6.18826412308259	2.969388298214389	1.88706964903238	.9122827104766164	1.816452081818427
1901				7.1	28922	4	24.5	25	511	20.44	7.48	2.44	3.25	7.84				1.96009478404727	10.27235783017474	1.386294361119891	3.198673117550682	3.218875824868201	6.236369590203704	3.017493765335504	2.012232791986386	.8919980393051105	2.059238834362316
1902				7.9	29800	3.7	25.4	26	537	20.65	8.17	2.31	3.3	8.42				2.066862759472976	10.3022636724935	1.308332819650179	3.234749174024491	3.258096538021482	6.285998094508865	3.027715319407042	2.100468908871911	.8372475245337022	2.130609828254235
1903				8.1	30506	3.9	25.7	27	548	20.3	8.68	2.29	3.45	7.21				2.091864061678393	10.32567866455988	1.360976553135601	3.246490991901174	3.295836866004329	6.306275286948016	3.010620886047742	2.161021528672259	.8285518175661483	1.975468951296858
1904				7.8	30771	5.4	26	27	538	19.93	9.24	2.14	3.6	7.05				2.054123733695546	10.33432796697552	1.686398953570229	3.258096538021482	3.295836866004329	6.287858560161784	2.992226134224703	2.223541885653593	.7608058290337602	1.953027616824177
1905				9.199999999999999	31976	4.3	26.5	27	561	20.78	10.24	2.13	3.5	8.99				2.219203484054995	10.37274090039116	1.458615022699517	3.277144732992177	3.295836866004329	6.329720905522696	3.033990985671081	2.326301619611362	.7561219797213337	2.196112848483529
1906				9.800000000000001	33749	1.7	27.2	28	577	20.61	11.08	2.28	3.55	9.640000000000001				2.282382385676526	10.42670606623208	.5306282510621704	3.303216973301951	3.332204510175204	6.3578422665081	3.025776394902368	2.405141681319138	.8241754429663494	2.265921108622454
1907				10	34371	2.8	28.3	29	598	20.62	11.6	2.28	3.8	7.84				2.302585092994046	10.44496846456174	1.029619417181158	3.342861804649192	3.367295829986474	6.393590753950631	3.026261478588814	2.451005098112319	.8241754429663494	2.059238834362316
1908				8.5	33246	8	28.1	28	548	19.57	11.44	2.06	3.95	7.78				2.140066163496271	10.4116897380954	2.079441541679836	3.3357695763397	3.332204510175204	6.306275286948016	2.973997781407985	2.437115985951652	.7227059828014898	2.0515563381903
1909	116.8	33400	1291	10	35072	5.1	29.1	28	599	21.39	12.68	2.19	3.77	9.710000000000001	4.760463070394127	10.41631117896479	7.163172390846642	2.302585092994046	10.46515837030769	1.62924053973028	3.370738174177447	3.332204510175204	6.395261598115449	3.062923523094314	2.54002594900908	.7839015438284094	2.273156282303233
1910	120.1	35300	1300	10.6	35762	5.9	29.9	29	651	22.45	13.34	2.17	3.8	9.35	4.788324729085938	10.47163824292139	7.170119543449628	2.360854001118021	10.48464115613515	1.774952350911674	3.397858480396641	3.367295829986474	6.478509642208569	3.111290614188263	2.590767040487478	.7747271675523681	2.235376343300596
1911	123.2	35800	1312	10.2	36179	6.7	29.7	29	632	21.79	14.12	2.07	3.9	9.24	4.81380905109942	10.48570317238879	7.179307969504034	2.322387720290225	10.49623411898743	1.90210752639692	3.391147045808654	3.367295829986474	6.448889394146858	3.081451148956528	2.647592232065096	.7275486072772777	2.223541885653593
1912	130.2	39400	1366	11.7	37433	4.6	30.9	30	651	21.7	15.13	2.12	3.9	9.529999999999999	4.869071729774468	10.58152109528602	7.219642040130736	2.45958884180371	10.53030794729928	1.526056303495049	3.4307561839037	3.401197381662155	6.478509642208569	3.077312260546414	2.716679527800264	.7514160886839212	2.254444717666111
1913	131.4	39600	1351	12.5	38298	4.3	31.1	29.7	689	23.2	15.73	2.15	4	8.51	4.87824610605051	10.58658439724257	7.208600337960199	2.525728644308256	10.55315295448411	1.458615022699517	3.437207819185188	3.391147045808654	6.535241271013659	3.144152278672264	2.755569717070186	.7654678421395714	2.141241942585283
1914	125.6	38600	1267	11.7	37559	7.9	31.4	30.1	696	23.12	16.39	1.88	4.1	8.08	4.833102254034098	10.56100755545292	7.144407180321139	2.45958884180371	10.53366830889961	2.066862759472976	3.446807892914208	3.40452517175483	6.54534966033442	3.140698043804177	2.796671392755739	.6312717768418578	2.089391872533004
1915	124.5	40000	1238	13.6	37511	8.5	32.5	30.4	661	21.74	17.59	1.87	4.15	8.31	4.824305715904762	10.59663473309607	7.121252453244542	2.610069792742006	10.53238950227802	2.140066163496271	3.481240089335692	3.414442608412176	6.493753839851686	3.079153881693063	2.867330558749467	.6259384308664954	2.117459608867357
1916	134.3	48300	1317	16.1	39364	5.1	36.5	32.7	751	22.97	20.85	2.09	4.05	9.470000000000001	4.900076103529192	10.78518683964066	7.183111701743281	2.778819271990417	10.58060697201888	1.62924053973028	3.597312260588446	3.487375077903208	6.621405651764134	3.134189016701007	3.037353948244811	.7371640659767196	2.248128907197987
1917	135.2	60400	1309	16.2	40084	4.6	45	38.4	883	22.99	24.37	2.15	4.05	8.5	4.906755163608864	11.00874438392291	7.1770187659099	2.785011242238338	10.59873253117822	1.526056303495049	3.80666248977032	3.648057459593681	6.78332520060396	3.13505933877509	3.193352867637115	.7654678421395714	2.140066163496271
1918	151.8	76400	1471	16	42712	1.4	52.6	45.1	1107	24.55	26.73	2.47	4.75	7.54	5.02256386496153	11.24373797515461	7.293697720601438	2.772588722239781	10.66223519018002	.3364722366212129	3.962716119743664	3.808882246508633	7.009408932708637	3.20071185424053	3.285786530150828	.9042181506398859	2.020222182019865
1919	146.4	84000	1401	14.1	41938	1.4	53.8	51.8	1293	24.96	31.01	2.25	4.75	8.779999999999999	4.986342601527212	11.33857207782545	7.244941546337007	2.646174797384123	10.64394761614669	.3364722366212129	3.985273467167739	3.947390149265437	7.164720378771857	3.217274543501227	3.434309733112358	.8109302162163288	2.172476407647025
1920	140	91500	1315	14.8	40799	5.2	61.3	60	1532	25.53	34.8	2.18	5.1	7.98	4.941642422609304	11.42409425126361	7.181591944611865	2.694627180770069	10.61641285028796	1.648658625587382	4.115779842942166	4.0943445622221	7.334329350300536	3.239854231253393	3.549617386780429	.7793248768009977	2.076938411461717
1921	127.8	69600	1177	11.4	38568	11.7	52.2	53.6	1396	26.04	32.85	1.88	5.17	6.86	4.850466541943434	11.15051984632251	7.070724107260276	2.43361335540045	10.56017819608546	2.45958884180371	3.955082494888593	3.981549068076756	7.241366283322318	3.259633817340368	3.49195174493062	.6312717768418578	1.925707441737794
1922	148	74100	1345	14.5	41134	6.7	49.5	50.2	1283	25.56	33.72	1.87	4.71	8.41	4.997212273764115	11.21317081128418	7.20414929203594	2.674148649426529	10.6245903091094	1.90210752639692	3.901972669574645	3.916015026697683	7.156956364615636	3.241028629509334	3.518091133133655	.6259384308664954	2.129421473984856
1923	165.9	85100	1482	17.3	43955	2.4	50.7	51.1	1403	27.46	36.6	2.02	4.61	8.57	5.111385197196399	11.35158231456147	7.301147805856032	2.850706501503733	10.69092166228528	.8754687373538999	3.925925910597138	3.933784497209659	7.246368080102461	3.312730400339825	3.60004824040732	.7030975114131134	2.148267732609689
1924	165.5	84700	1450	16.2	43607	5	50.1	51.2	1427	27.87	38.58	1.95	4.66	9.050000000000001	5.108971194817117	11.34687088064015	7.27931883541462	2.785011242238338	10.682972966909	1.6094379124341	3.914021008090819	3.935739532045462	7.263329617476836	3.327550841493857	3.652734007477583	.6678293725756554	2.202764757711835
1925	179.4	93100	1549	17.8	45082	3.2	51	52.5	1450	27.62	42.05	1.87	4.5	11.15	5.189617949624695	11.44142946326516	7.345364840416869	2.87919845729804	10.71623833274191	1.163150809805681	3.931825632724326	3.960813169597578	7.27931883541462	3.318540147981146	3.738859386418957	.6259384308664954	2.411439497906128
1926	190	97000	1618	18.9	46464	1.8	51.2	53	1476	27.85	43.68	1.94	4.4	12.59	5.247024072160486	11.48246625748552	7.388946097618437	2.939161922065597	10.74643309818447	.5877866649021191	3.935739532045462	3.970291913552122	7.297091005160418	3.326832966373293	3.77689033143665	.6626879730752367	2.532902848056256
1927	189.8	94900	1594	18.9	46496	3.3	50	52	1502	28.88	44.73	1.86	4.3	15.34	5.245970886175828	11.46057898459802	7.374001859350161	2.939161922065597	10.74712156637001	1.193922468472435	3.912023005428146	3.951243718581428	7.31455283232408	3.363149314024625	3.800644417444757	.62057648772511	2.73046379593911
1928	190.9	97000	1584	19.6	46774	4.2	50.4	51.3	1534	29.9	46.42	1.83	4.05	19.95	5.251749730731702	11.48246625748552	7.367708572374371	2.975529566236472	10.75308277197201	1.435084525289323	3.919991175077323	3.937690752176724	7.335633981927201	3.397858480396641	3.837730400846291	.6043159668533296	2.993229143335872
1929	203.6	103095	1671	21.8	47890	3.2	50.6	51.3	1543	30.08	46.6	1.94	4.42	26.02	5.316157284676367	11.54340617222381	7.421177528595393	3.081909969795043	10.77666199333665	1.163150809805681	3.92395157629342	3.937690752176724	7.341483852363161	3.403860499081639	3.8416005411316	.6626879730752367	3.258865473084359
1930	183.5	90367	1490	18.1	45740	8.699999999999999	49.3	50	1488	29.76	45.73	1.68	4.4	21.03	5.212214667494625	11.41163443548761	7.306531398939505	2.89591193827178	10.73072846757677	2.163323025660538	3.897924081048644	3.912023005428146	7.305188215393037	3.393165209964891	3.822754537669964	.5187937934151675	3.045949989714608
1931	169.3	75820	1364	15	42660	15.9	44.8	45.6	1369	30.02	42.69	1.45	4.1	13.66	5.13167228913909	11.23611738907033	7.218176838403408	2.70805020110221	10.66101699202534	2.766319109226186	3.802208139420939	3.819907716520341	7.221835825288449	3.401863826205316	3.75396470076987	.371563556432483	2.614471854142644
1932	144.2	58049	1154	11.7	39190	23.6	40.2	40.9	1150	28.12	36.05	1.24	4.7	6.93	4.971201224850849	10.9690427604488	7.050989447068045	2.45958884180371	10.57617689119368	3.161246712031565	3.693866995624976	3.711130063048756	7.047517221357296	3.336481066942464	3.584906863730958	.2151113796169455	1.935859813201812
1933	141.5	55601	1126	13.8	39010	24.9	39.3	38.8	1086	27.99	32.22	1.32	4.15	8.960000000000001	4.952299717083292	10.92595646568845	7.026426808699636	2.624668592163159	10.5715733025007	3.214867803470662	3.671224518875215	3.658420246629228	6.990256500493881	3.331847303527362	3.472587377748828	.2776317365982796	2.192770226986839
1934	154.3	65054	1220	15.1	41150	21.7	42.2	40.1	1153	28.75	34.36	1.47	3.99	9.84	5.038898759369115	11.08297297321079	7.106606137727303	2.714694743820879	10.62497920610522	3.077312260546414	3.742420221041966	3.691376334312523	7.050122520269059	3.358637767243359	3.536893097116055	.3852624007906449	2.286455711064162
1935	169.5	72247	1331	17.4	42530	20.1	42.6	41.1	1216	29.59	39.07	1.49	3.5	10.6	5.132852926820505	11.18784608262125	7.193685818395112	2.856470206220483	10.65796498824768	3.00071981506503	3.751854253275325	3.716008121502189	7.103322062526113	3.387436466412118	3.665354909066979	.3987761199573678	2.360854001118021
1936	193	82481	1506	20.6	44710	16.9	42.7	41.5	1287	31.01	43.48	1.57	3.2	15.47	5.262690188904886	11.32032324276865	7.317212408359839	3.025291075795535	10.70795246922803	2.827313621929028	3.754198920234579	3.725693427236652	7.160069207596127	3.434309733112358	3.772301062253009	.4510756193602167	2.738902664584975
1937	203.2	90446	1576	22.5	46620	14.3	44.5	43	1376	32	45.68	1.64	3.08	15.41	5.314190715704327	11.41250826651776	7.362645270417825	3.113515309210374	10.74978491258975	2.660259537265862	3.795489189172195	3.761200115693562	7.226936018493289	3.465735902799727	3.821660565347755	.494696241836107	2.735016649332024
1938	192.9	84670	1484	17.8	44560	19	43.9	42.2	1296	30.71	45.51	1.51	3	11.49	5.262171919911683	11.34651662663632	7.302496423727326	2.87919845729804	10.70459187460117	2.94443897916644	3.781914320081126	3.742420221041966	7.16703787691222	3.424588334452731	3.817932082028551	.412109650826833	2.441477091860664
1939	209.4	90494	1598	21.8	46120	17.2	43.2	41.6	1363	32.76	49.27	1.5	2.75	12.06	5.344246298436437	11.41303882914764	7.37650812632622	3.081909969795043	10.739001974383	2.844909383819407	3.765840495250065	3.728100167267218	7.217443431696533	3.489208258984869	3.897315376555872	.4054651081081644	2.489894191299039
1940	227.2	99678	1720	25.5	48060	14.6	43.9	42	1432	34.1	55.2	1.48	2.7	11.02	5.425830686846997	11.50970026961453	7.450079569807499	3.23867845216438	10.78020550929046	2.681021528714291	3.781914320081126	3.737669618283368	7.266827347520591	3.529297384289471	4.01096295328305	.3920420877760237	2.399711803724768
1941	263.7	124540	1977	31.8	51970	9.9	47.2	44.1	1653	37.48	62.51	1.58	2.65	9.82	5.574812093359241	11.73238222842644	7.589335823170617	3.459466289786131	10.85842190800249	2.292534757140544	3.85439389259151	3.7864597824528	7.410347097821024	3.623807457370221	4.135326543943721	.4574248470388755	2.284421122366374
1942	297.8	157910	2208	36.6	57720	4.7	53	48.8	2023	41.45	71.16	1.82	2.65	8.67	5.696422120249909	11.96978052946069	7.699842407396986	3.60004824040732	10.96335901288781	1.547562508716013	3.970291913552122	3.887730312859102	7.612336837167746	3.724487881581304	4.264930862797635	.598836501088704	2.159868790792451
1943	337.1	191592	2465	44.7	63490	1.9	56.8	51.8	2349	45.35	89.91	1.75	2.65	11.5	5.820379622240015	12.16312338999374	7.80994708647679	3.799973501619523	11.0586376921645	.6418538861723947	4.039536325727106	3.947390149265437	7.761744984658913	3.814410176561146	4.498809169996681	.5596157879354227	2.442347035369204
1944	361.3	210104	2611	48.3	65370	1.2	58.2	52.7	2517	47.76	106.8	1.61	2.6	12.47	5.889708638153595	12.25535792520493	7.867488568699128	3.877431560658527	11.08781871660678	.1823215567939546	4.063885354737392	3.964615455547317	7.830822995135316	3.866188469084347	4.670957926526095	.4762341789963717	2.523325759691945
1945	355.2	211945	2538	41.3	64260	1.9	59.7	53.9	2517	46.7	126.6	1.37	2.55	15.16	5.872681011118015	12.26408208603307	7.839131648274333	3.720862499966987	11.07069263266985	.6418538861723947	4.089332020398556	3.987130477914951	7.830822995135316	3.843744164674852	4.841032509710076	.3148107398400336	2.718660380214226
1946	312.6	208509	2211	35.2	58700	3.9	66.7	58.5	2517	43.03	138.7	1.16	2.43	17.08	5.744924417987376	12.24773748475702	7.701200180857446	3.561046082604051	10.98019500581619	1.360976553135601	4.200204952921578	4.069026754237811	7.830822995135316	3.761897546850508	4.932313327320786	.1484200051182732	2.837908188360424
1947	309.9	231323	2150	39.4	58630	3.9	74.59999999999999	66.90000000000001	2793	41.75	146	1.2	2.5	15.17	5.736249664793703	12.35157028123527	7.673223121121708	3.673765816303888	10.97900178995826	1.360976553135601	4.312140507209715	4.203198967134183	7.934871565945177	3.731699451296865	4.983606621708336	.1823215567939546	2.719319793360441
1948	323.7	257562	2208	41	59803	3.8	79.59999999999999	72.09999999999999	3038	42.14	148.1	1.33	2.8	15.53	5.779817160932199	12.4590157468029	7.699842407396986	3.713572066704308	10.99881110590447	1.33500106673234	4.377014092850337	4.278054044290903	8.018954683155718	3.740997408376043	4.997887721273753	.2851789422336625	2.742773637160596
1949	324.1	256484	2172	38.8	59266	5.9	79.09999999999999	71.40000000000001	3095	43.35	147.5	1.3	2.74	15.23	5.781052110147502	12.45482156347972	7.683403681053826	3.658420246629228	10.98979106473664	1.774952350911674	4.370712874773608	4.268297869345539	8.037543185118697	3.769306703226551	4.993828175779875	.2623642644674911	2.72326716690707
1950	355.3	284769	2342	44.9	60570	5.3	80.2	72.09999999999999	3302	45.8	150.8	1.41	2.58	18.4	5.872962503026981	12.55943360428094	7.758760544157663	3.804437794748209	11.01155499997499	1.667706820558076	4.384523514872469	4.278054044290903	8.102283624480073	3.824284091120139	5.015954455573856	.3435897043900769	2.91235066461494
1951	383.4	328404	2485	48.7	63062	3.3	85.59999999999999	77.8	3608	46.38	156.4	1.57	2.67	22.34	5.949078830611544	12.7019998367542	7.818027938530729	3.885679030088544	11.05187364842231	1.193922468472435	4.449685283147696	4.354141431184346	8.190908881182514	3.836868331827386	5.052416828111211	.4510756193602167	3.106378793641055
1952	395.1	345498	2517	50.6	63846	3	87.5	79.5	3832	48.2	164.9	1.56	3	24.5	5.979138897417345	12.7527421334611	7.830822995135316	3.92395157629342	11.06422921266979	1.09861228866811	4.471638793363569	4.375757021660286	8.251142139090751	3.875359021056555	5.105339229565553	.4446858212614457	3.198673117550682
1953	412.8	364593	2587	54.8	64726	2.9	88.3	80.09999999999999	4053	50.6	171.2	1.57	3.15	24.73	6.022963214167353	12.80653694192007	7.858254182186029	4.00369019395397	11.07791825448108	1.064710736992428	4.480740107609915	4.383275854074314	8.307212626628308	3.92395157629342	5.142832463707641	.4510756193602167	3.208017081533325
1954	407	364841	2506	51.8	63460	5.5	89.59999999999999	80.5	4123	51.22	177.2	1.51	3	29.69	6.008813185442595	12.80721692121787	7.826443135456014	3.947390149265437	11.05816506513719	1.704748092238425	4.495355319980884	4.388257184424518	8.324336332706901	3.936130080771379	5.177279038170981	.412109650826833	3.390810288775668
1955	438	397960	2650	58.4	65220	4.4	90.90000000000001	80.2	4356	54.31	183.7	1.59	3.04	40.49	6.082218910376446	12.8941067767033	7.882314918980268	4.067315889834181	11.08552144934331	1.481604540924216	4.509760001183433	4.384523514872469	8.37930948405285	3.994708372046754	5.21330399222108	.4637340162321402	3.70105503004407
1956	446.1	419238	2652	61	66659	4.1	94	81.40000000000001	4589	56.38	186.9	1.66	3.09	46.62	6.100543142134219	12.94619405673557	7.883069351305753	4.110873864173311	11.10734535024906	1.410986973710262	4.543294782270004	4.399375273008495	8.431417414394833	4.032114485685967	5.230573714461517	.5068176023684519	3.842029633607611
1957	452.5	441134	2642	61.8	66871	4.3	97.5	84.3	4786	56.77	191.8	1.68	3.68	44.38	6.114787763139981	12.99710396314972	7.879291485082271	4.123903364463645	11.11052066932532	1.458615022699517	4.579852378003801	4.43438186500781	8.473450268468319	4.039008017182635	5.256453162449338	.5187937934151675	3.792788917504448
1958	447.3	447334	2569	57.8	65672	6.8	100	86.59999999999999	4946	57.11	201.1	1.61	3.61	46.24	6.103229510438802	13.01106079815751	7.851271997109883	4.056988775678332	11.0924279340281	1.916922612182061	4.605170185988092	4.461299815568389	8.506334448081361	4.044979232676772	5.303802296778606	.4762341789963717	3.833845224364122
1959	475.9	483663	2688	64.7	67182	5.5	101.6	87.3	5221	59.81	210.1	1.68	4.1	57.38	6.165207748127065	13.08914366219084	7.89655270164304	4.169761201506855	11.11516063348825	1.704748092238425	4.621043535144381	4.469350462845557	8.560444233410552	4.091172871056465	5.347583607850955	.5187937934151675	4.049695810553219
1960	487.7	503734	2699	66.2	68292	5.5	103.3	88.7	5352	60.34	210.7	1.72	4.55	55.85	6.189700462716007	13.12980362995201	7.900636613018005	4.192680462942962	11.13154790839112	1.704748092238425	4.637637376125593	4.485259889315534	8.585225601808064	4.099995233730915	5.350435320810143	.5423242908253617	4.02266952551521
1961	497.2	520097	2707	66.59999999999999	68318	6.7	104.6	89.59999999999999	5507	61.46	221.2	1.69	4.22	66.27	6.208992359636556	13.16177061162301	7.903596289614301	4.198704577546343	11.13192855402928	1.90210752639692	4.650143551630823	4.495355319980884	8.613775289262481	4.118386556702339	5.39906726964818	.5247285289349821	4.193737306100135
1962	529.8	560325	2841	72.09999999999999	69530	5.5	105.8	90.59999999999999	5730	63.25	233.9	1.71	4.42	62.38	6.272499576837969	13.23627225151211	7.951911381854188	4.278054044290903	11.14951359309306	1.704748092238425	4.661550519424199	4.506454213048934	8.653470809708786	4.14709512760763	5.454893673590133	.5364933705145685	4.133244711179657
1963	551	590503	2912	76.5	70500	5.7	107.2	91.7	5920	64.56	249.1	1.69	4.16	69.87	6.311734809152915	13.28872999504695	7.976595409316577	4.33729074083249	11.16336798880036	1.740466174840505	4.674696248636701	4.51852237926242	8.686091727878051	4.167595023961693	5.517854422268135	.5247285289349821	4.246636372564359
1964	581.1	632410	3029	81.8	72044	5.2	108.8	92.90000000000001	6196	66.7	264.7	1.71	4.33	81.37	6.36492285908106	13.35729319696916	8.015987811027237	4.404277243608702	11.18503232245695	1.648658625587382	4.689511334421843	4.531523645819793	8.731659201536759	4.200204952921578	5.578597109233056	.5364933705145685	4.399006654708566
1965	617.8	684884	3181	89.2	73811	4.5	110.9	94.5	6389	67.61	285.9	1.72	4.35	88.17	6.426164780484481	13.43700475983851	8.064950891749143	4.490881039585964	11.20926305097201	1.504077396776274	4.708628894356321	4.548599834499697	8.762333040602343	4.213755901102586	5.655642099328266	.5423242908253617	4.479266769098936
1966	658.1	749857	3349	98	76018	3.8	113.9	97.2	6643	68.34	308	1.76	4.75	85.26000000000001	6.489356895462073	13.52763780066663	8.116417072794205	4.584967478670572	11.23872543333107	1.33500106673234	4.735320870453137	4.576770711466393	8.801318947665241	4.224495246687145	5.730099782973574	.5653138090500605	4.445705411337064
1967	675.2	793927	3399	100	77818	3.8	117.6	100	6880	68.8	331.8	1.72	4.95	91.93000000000001	6.515008943281748	13.58474679645597	8.131236549696116	4.605170185988092	11.26212804587418	1.33500106673234	4.767289035464526	4.605170185988092	8.836373930927389	4.231203744939298	5.804532377756344	.5423242908253617	4.521027417875663
1968	706.6	864202	3522	105.8	79455	3.6	122.3	104.2	7347	70.51000000000001	361.6	1.72	5.93	98.7	6.560464734925045	13.66956181675639	8.166784289056151	4.661550519424199	11.28294610264674	1.280933845462064	4.806477042693126	4.646312129319266	8.902047345620277	4.25575454373095	5.890538628518022	.5423242908253617	4.592084946439436
1969	724.7	929095	3577	110.7	81408	3.5	128.2	109.8	7775	70.81	385.2	1.73	6.54	97.84	6.585757776115236	13.74196627306288	8.182279739259018	4.706823839714591	11.30722882725974	1.252762968495368	4.853591544486569	4.69866052907543	8.958668737047434	4.260000233663683	5.953762679923971	.5481214085096876	4.583333491378917
1970	720	974126	3516	106.7	81815	4.9	135.3	116.3	8150	70.08	401.3	1.73	7.6	83.81999999999999	6.579251212010101	13.78929593770764	8.165079258805068	4.670021158307708	11.312215879863	1.589235205116581	4.907494535176743	4.756173059524619	9.005773206234908	4.249637446628136	5.994709277272871	.5481214085096876	4.428671642496925
